cid,round,MAE,MSE,RMSE,MAPE (%),SMAPE (%),Model_Strategy
0,49,7.767622976113949,118.50761819302568,10.886120438109517,16.162167282853645,14.90859024816372,gru_fedProx_diff001
1,49,5.081566066794219,39.79618449127058,6.30842171159083,20.24947859291936,19.5863769820672,gru_fedProx_diff001
2,49,1.5295515462840137,4.049631359783594,2.012369588267422,60.70095074130938,41.763031026077705,gru_fedProx_diff001
3,49,17.710369065153074,579.7474890740224,24.07794611411078,26.575266251270147,21.57413450776784,gru_fedProx_diff001
4,49,16.136761647959197,440.0478878102045,20.97731841323396,3.815391747094541,3.861148078340651,gru_fedProx_diff001
5,49,1.7437798030187068,5.3041244286680245,2.303068481106896,51.24735037038355,35.59856194674699,gru_fedProx_diff001
6,49,4.112225727806123,32.48474399489175,5.699538928272334,9.150091574316338,9.106342352339158,gru_fedProx_diff001
7,49,19.983559166326543,632.6817597483574,25.153165998505187,11.434813889091028,12.1302374282116,gru_fedProx_diff001
8,49,10.910988908078236,193.34223014681208,13.904755666562863,7.433978917328118,7.598845620763369,gru_fedProx_diff001
9,49,9.99242221979592,170.93223011991512,13.07410532770465,39.10046506145196,31.36909746137479,gru_fedProx_diff001
10,49,53.58120878103743,4381.626777835176,66.19385755366713,9.994300242925016,9.92207354620656,gru_fedProx_diff001
11,49,10.456355299404771,140.06923953251544,11.835085108798983,7.540499846395221,7.905515586427531,gru_fedProx_diff001
12,49,5.256008615561227,49.149165245059045,7.010646563981032,6.15748832195461,6.340625674038569,gru_fedProx_diff001
13,49,15.752069073384355,411.6165552911998,20.288335449001227,14.182936764111515,14.202717010019592,gru_fedProx_diff001
14,49,18.86298460442177,507.2613338002826,22.52246287154854,15.714922709537149,15.55474332656761,gru_fedProx_diff001
15,49,11.11843960255102,199.9433351934873,14.14013207836077,15.063639258128674,14.239827505824008,gru_fedProx_diff001
16,49,20.41194273698979,1032.6915826250872,32.135519019071204,5.19682078785328,5.125463363151351,gru_fedProx_diff001
17,49,5.206835058826531,45.51478691043007,6.746464771302824,14.271563958521469,13.693532433142853,gru_fedProx_diff001
18,49,20.752383585034043,677.7965528870367,26.03452616981989,3.4759648003198604,3.5275496664340897,gru_fedProx_diff001
19,49,6.050835256632653,56.01338115960747,7.484208786478867,12.05582480778009,11.588651760774802,gru_fedProx_diff001
20,49,17.743709807142857,569.860925215261,23.87175999408634,13.199345367964568,12.61744774375882,gru_fedProx_diff001
21,49,2.597100835603741,12.545884307190684,3.542016982905458,21.0057302956652,18.77693670786099,gru_fedProx_diff001
22,49,1.129482604047619,2.2453496660113883,1.498449086893308,13.255492881904903,12.634067482998844,gru_fedProx_diff001
23,49,11.915768842346948,243.802029032277,15.614161169665088,4.371914346210303,4.436018275728114,gru_fedProx_diff001
24,49,23.430818725510207,902.450508036294,30.0408140375106,11.012729573692669,10.89219023571897,gru_fedProx_diff001
25,49,18.87147401411565,725.6514740721483,26.937918889033508,26.324886638020235,23.522908117089912,gru_fedProx_diff001
26,49,13.056801817763606,262.2674547750865,16.194673654479317,33.70597160186805,29.11626938764033,gru_fedProx_diff001
27,49,4.317354467006803,32.27905944929788,5.681466311551787,4.513093958713512,4.563115175680496,gru_fedProx_diff001
28,49,9.99490347429422,178.84402743913847,13.373257921656132,19.52133908064345,19.135989173049516,gru_fedProx_diff001
29,49,53.87079330963542,5364.98395268618,73.24605076511757,15.7212833218567,16.181711324732756,gru_fedProx_diff001
30,49,29.097770170153066,1212.5183839548442,34.82123467016706,19.31527173298309,18.074566314443903,gru_fedProx_diff001
