cid,round,MAE,MSE,RMSE,MAPE (%),SMAPE (%),Model_Strategy
0,46,7.736045660926875,119.9676916140015,10.952976381513908,16.514133264083785,14.97300440200634,lstm_fedProx
1,46,5.05503176577381,39.89112150062388,6.315941853803269,20.51416124525724,19.51681877531913,lstm_fedProx
2,46,1.5240281415561223,4.007666946668812,2.0019158190765194,61.53342147054654,42.22698017461242,lstm_fedProx
3,46,17.016234655289125,591.7932703340616,24.32680148178263,27.13161767570993,20.84845963380204,lstm_fedProx
4,46,15.398933064625862,406.2255552949528,20.155037963123583,3.67051393576747,3.6929381147207714,lstm_fedProx
5,46,1.8037128694812925,5.633346875241332,2.3734672686264986,53.178010936880206,36.684707913805646,lstm_fedProx
6,46,4.343321596513606,34.76990648780822,5.8966012657978,9.83181181223467,9.63818352090146,lstm_fedProx
7,46,17.661893673469397,535.4804422369893,23.140450346460185,10.16251274273452,10.607978745840146,lstm_fedProx
8,46,11.01643689447279,191.2911206746956,13.830803327164174,7.631584198601309,7.639175667192729,lstm_fedProx
9,46,10.134221281530612,176.03111021033286,13.267671619780648,40.486939639280095,31.793573510342664,lstm_fedProx
10,46,53.73648683886055,4401.000860770718,66.34003965005385,10.210769116148482,10.000136215989452,lstm_fedProx
11,46,9.127649506717695,110.65334685037703,10.519189457861144,6.560710685924266,6.837040970728585,lstm_fedProx
12,46,5.392869139710886,51.07412334120605,7.146616216168743,6.384175641127447,6.485860762022097,lstm_fedProx
13,46,16.054179528826534,406.9998082282296,20.17423624894458,14.880224112465424,14.40873343577947,lstm_fedProx
14,46,18.680216443707486,496.8735194076282,22.290659914135077,16.184346378903225,15.55836168139212,lstm_fedProx
15,46,11.204561626020409,200.13149429388832,14.146783885176458,15.476735367788676,14.440326427915254,lstm_fedProx
16,46,23.73860675909863,1218.0092498016347,34.89998925217076,6.123064055727425,5.963117637729135,lstm_fedProx
17,46,5.261082121275512,46.57936399827043,6.824907618295682,14.651685220791538,13.79784455660958,lstm_fedProx
18,46,19.467341629251727,618.8051790663026,24.875795043903672,3.272089295717449,3.3095138917744684,lstm_fedProx
19,46,6.164133374659864,57.92653299113844,7.610948232062706,12.541470547805138,11.889149516778827,lstm_fedProx
20,46,18.176783589455777,589.896132675577,24.28777743383649,13.792474783251665,13.029341487217128,lstm_fedProx
21,46,2.6200641034778918,12.680604067694537,3.560983581497468,21.239532843086568,18.884217675527516,lstm_fedProx
22,46,1.15466042792517,2.3023749940221063,1.5173578991200811,13.588666803496682,12.895082508481137,lstm_fedProx
23,46,11.11447247653062,222.86934960156856,14.9288093832552,4.124245399142241,4.151491713705152,lstm_fedProx
24,46,23.52565121751701,885.4888468369504,29.757164630336515,11.446173549585454,11.036860129437846,lstm_fedProx
25,46,18.52587199353741,720.2709639459306,26.837864370063624,26.114805894114777,22.827001327055797,lstm_fedProx
26,46,13.34405818545068,264.172991462962,16.253399381758943,36.89332724068228,29.832105444980797,lstm_fedProx
27,46,4.638274167006802,34.74587486062504,5.894563161136289,4.910731388891241,4.916945107301266,lstm_fedProx
28,46,10.111521198664969,180.00944633340993,13.416759904440786,20.185686760924035,19.34886086246501,lstm_fedProx
29,46,60.621004435503465,5403.463949394246,73.50825769527017,19.153538908102952,18.2606693495257,lstm_fedProx
30,46,30.474442104846936,1297.4545813621387,36.02019685346179,20.98787118494228,18.96674879557886,lstm_fedProx
31,46,24.87867370229592,893.6297571752541,29.89364074807975,19.73119076914066,18.37405225135789,lstm_fedProx
32,46,28.856402716581638,1399.303145018433,37.40726059227584,38.78696907304022,30.734178215345125,lstm_fedProx
