cid,round,MAE,MSE,RMSE,MAPE (%),SMAPE (%),Model_Strategy
0,50,7.005910084498301,105.61241619549706,10.276790169868072,15.745026231700107,13.523090777491396,lstm_global_model
1,50,4.905812621301021,37.66481159852068,6.137166414439214,20.84548945437536,18.95572338450281,lstm_global_model
2,50,1.260307793494898,2.8123083526178583,1.6769938439415508,49.22247248996493,35.79072104651287,lstm_global_model
3,50,12.446371947295924,403.1484975354369,20.07855815379772,21.43346603188826,15.52799556759698,lstm_global_model
4,50,10.971904212585027,238.21413091476404,15.43418708305572,2.6910836051508755,2.6463144483780097,lstm_global_model
5,50,1.6798858800765306,5.6698431098599,2.381143235897391,44.93810193744893,32.9943955891428,lstm_global_model
6,50,3.764664250765307,29.21223597958235,5.40483450066534,8.491242205420695,8.407531797316125,lstm_global_model
7,50,10.59035165544218,223.09271369339027,14.9362884845396,6.377370410527456,6.165817595190502,lstm_global_model
8,50,9.23708598239796,137.34505590149587,11.719430698694191,6.428739452591225,6.361355164953156,lstm_global_model
9,50,5.091639524404762,46.98161804040341,6.854313827102127,17.702033206040273,16.102688446579545,lstm_global_model
10,50,50.22602271130952,4191.103055741126,64.73872917922567,9.534059619293265,9.278858653220556,lstm_global_model
11,50,4.081698966411565,29.79592345801966,5.458564230456545,2.957903496740669,2.9682334839776567,lstm_global_model
12,50,4.869063011309523,39.98614046045607,6.323459532602077,5.901663132772683,5.853273511140556,lstm_global_model
13,50,11.917334217091838,244.19266094727027,15.626665061594885,10.869040435525095,10.65667367821215,lstm_global_model
14,50,11.638502668707485,220.79753160045607,14.859257437720636,9.373007430890432,9.238995317617563,lstm_global_model
15,50,5.748016740646257,60.35890007698304,7.769099051819525,7.42170105534201,7.191004260518652,lstm_global_model
16,50,18.05109058732993,875.5629031744278,29.5899121859871,4.621737518400697,4.5683886734045736,lstm_global_model
17,50,4.994056928758503,42.79183825057878,6.541547083876931,14.515718861425722,13.03529428451566,lstm_global_model
18,50,15.429597535714288,426.462491439648,20.650968293028004,2.6378259128315173,2.6277643961957287,lstm_global_model
19,50,5.322371499999999,47.15617349651056,6.867035277069032,10.883222380457552,10.454160615663406,lstm_global_model
20,50,11.433808393707478,276.4219453504139,16.625941938741814,8.777399897496855,8.257721994540493,lstm_global_model
21,50,2.601990993069728,11.82720147518834,3.439069856107657,21.01304450951188,18.65296348544264,lstm_global_model
22,50,1.157093686989796,2.207895776049198,1.485898979086128,13.588574940702284,12.929634610709916,lstm_global_model
23,50,6.991013877721083,88.60137541198819,9.41283036137315,2.6444237968638857,2.6148697214246317,lstm_global_model
24,50,18.02556527653061,544.2077489417658,23.32826073546345,8.464032657229762,8.203617303185343,lstm_global_model
25,50,11.982072116836733,269.3738235088104,16.412611721137207,17.148150634557556,15.155922449749957,lstm_global_model
26,50,8.335929148188775,122.58905470988876,11.071994161391558,21.527408536941294,18.79085864178249,lstm_global_model
27,50,4.327064992346938,31.670038671185434,5.627613941199719,4.651330300585126,4.594346807845031,lstm_global_model
28,50,7.747587081658166,96.15544086088131,9.805888070994962,15.85740508605326,15.012789857818545,lstm_global_model
29,50,40.668742677343744,2643.3669538840104,51.41368450017962,12.436917144789362,11.84322932848882,lstm_global_model
30,50,15.975232544812926,479.4838909487787,21.89712060862749,9.703145650886896,9.38312513767497,lstm_global_model
31,50,16.13772122355442,491.66045669713696,22.173417794673355,12.060803545390588,11.678916541454075,lstm_global_model
32,50,18.125987391411563,642.3224984036661,25.344082117994848,21.03601420525621,18.796107852874396,lstm_global_model
33,50,8.564040009353741,113.8726660004494,10.671113625130667,6.974308774866382,6.795542367170877,lstm_global_model
34,50,7.0098868718622445,80.42345803288941,8.967912690971596,12.605849111603376,11.786660291572796,lstm_global_model
35,50,5.326010254362245,45.83267396483435,6.769983306097169,12.07808561257272,11.295847616306594,lstm_global_model
36,50,5.725179467908163,64.47227313275054,8.029462817197084,22.89706728502171,19.54317262532413,lstm_global_model
37,50,5.880104932219389,55.39905301177436,7.443054011074645,17.27614575040769,15.638828526172126,lstm_global_model
38,50,4.161438051190477,29.86875904500104,5.465231838174941,2.417693755340115,2.420081075639368,lstm_global_model
39,50,6.132352871003401,73.44799983976876,8.57018085222061,6.799785615052295,6.587177234836693,lstm_global_model
40,50,15.536615643070649,938.6039464122824,30.63664385033521,30.18277189423529,23.661288266293507,lstm_global_model
41,50,4.217034007355444,35.98087357958447,5.998405919874418,6.473014945486846,6.317318563923986,lstm_global_model
42,50,16.451957840051016,638.792785899255,25.27435035563239,4.873492356373296,4.718822581501065,lstm_global_model
43,50,5.298524170858843,73.1604124411389,8.553386021987953,20.934128268208664,17.335717826657767,lstm_global_model
44,50,0.7099057585289115,0.9125444767532448,0.9552719386401156,26.76270770027836,22.42599563383635,lstm_global_model
45,50,0.0500535761394557,0.0045033923388702,0.0671073195625501,7.411363974342605,7.289278917188591,lstm_global_model
46,50,0.7818452314115646,1.1132980850513343,1.0551294162572356,50.4993991252879,37.199511057326674,lstm_global_model
47,50,13.840691776020408,312.7583492105021,17.684975239182613,16.14527725154458,14.90926418244936,lstm_global_model
48,50,3.93296652710034,25.82406316615816,5.081738203229103,30.55218455489929,24.72755768179457,lstm_global_model
49,50,7.082761958707485,94.4911383977379,9.72065524528763,13.387489967729682,12.521631268970474,lstm_global_model
50,50,0.712112877142857,0.8998709118936553,0.9486152602049238,5.139476327423179,5.062251071842885,lstm_global_model
51,50,1.9930460523469384,7.573506446060375,2.7520004444150032,8.333440421927259,7.957475383932436,lstm_global_model
52,50,8.516280875595234,146.0938547798558,12.086929088062684,7.701210918512764,7.348862839379655,lstm_global_model
53,50,1.9602456556818184,425.9891073352711,20.6395035631982,6392033.8067733,27.840729578120936,lstm_global_model
54,50,7.488289011309527,106.05064880028507,10.298089570414753,5.375739388987064,5.361122803486832,lstm_global_model
55,50,6.092491401794217,63.50687148286281,7.969119868772386,19.351032124935813,17.704811667939126,lstm_global_model
56,50,4.893709863605442,37.49670247828405,6.123455109518159,8.354670755778855,8.01871382282862,lstm_global_model
57,50,10.989282641156464,208.29308345379687,14.432362365662694,13.230809566534948,11.906097714608018,lstm_global_model
58,50,7.6044877718537425,91.35301773307827,9.557877260829324,9.466880676737102,8.90828720287198,lstm_global_model
59,50,24.114425725323134,1095.708156546949,33.101482694087125,196.9170957094192,56.83696038817718,lstm_global_model
60,50,73.86320162431973,7683.812282132012,87.65735726185231,34.7560448157269,30.645009464900948,lstm_global_model
61,50,6.675036598843536,74.13271090562067,8.610035476443791,13.441598064909735,12.626063336402316,lstm_global_model
62,50,7.421812246173468,92.06323054185442,9.594958600319984,6.3878068508277766,6.244567226479471,lstm_global_model
63,50,4.566783072644557,34.32615556805408,5.858852751866536,10.799273635174549,10.042244563936908,lstm_global_model
64,50,4.08072946922619,27.43477292085709,5.23782139069834,15.837162019201696,14.425626421857531,lstm_global_model
65,50,4.114474410986395,30.244856023080526,5.499532345852739,14.670386129590856,13.201333521030245,lstm_global_model
66,50,4.589507619472789,41.23256277796371,6.421258659948508,7.17899798357983,7.131001756948978,lstm_global_model
67,50,6.321003073129254,79.03738509043605,8.890297244211581,10.375245975135025,9.84956046563912,lstm_global_model
68,50,3.6704270771428567,23.13623583816456,4.8100141203706,9.406536530581617,9.113751207575046,lstm_global_model
69,50,4.500226757219387,34.4805273301934,5.872012204533758,6315376278.217293,43.32853063660564,lstm_global_model
70,50,1.1340605319557822,2.1464513545633066,1.465077252080349,8.373580199969336,8.115284639969282,lstm_global_model
71,50,3.1244188134353723,16.372150266420906,4.046251384481803,7.359669874781281,7.09925350606105,lstm_global_model
72,50,4.463178249421767,37.17503003545342,6.097132935688168,11.239510744585449,10.545009531273584,lstm_global_model
73,50,1.1662665995833337,2.341871233591795,1.5303173636836886,10.819649222475611,10.739941263881772,lstm_global_model
74,50,3.1560322136309518,17.074466018732114,4.13212608940387,9.145290897271192,8.836327116187515,lstm_global_model
75,50,8.07682675663265,109.80513751423388,10.478794659417366,10.739347366897292,10.26586708515113,lstm_global_model
76,50,13.866047630102043,477.0861414848095,21.842301652637467,3.030343963275902,2.9677718834934823,lstm_global_model
77,50,7.094860489574831,87.62251500813049,9.360689878856713,12.531433426581682,11.93818666935646,lstm_global_model
78,50,18.939579392559526,827.0365200520506,28.75824264540604,12738147493.438145,19.807537531456568,lstm_global_model
79,50,9.298400055442178,174.7117149928105,13.217855915117644,6.88287775073755,6.3275375077184695,lstm_global_model
