cid,round,MAE,MSE,RMSE,MAPE (%),SMAPE (%),Model_Strategy
0,50,6.844162149192178,109.5832750604418,10.468203048300207,15.526616839637557,13.172384073447486,transformer_global_model
1,50,4.673906701624151,35.76186416825595,5.980122420841897,19.68342156458444,18.138785409397755,transformer_global_model
2,50,1.062166881377551,2.421946019773115,1.5562602673631152,35.40202973282127,28.11709977671229,transformer_global_model
3,50,11.453399118758504,325.3364728769871,18.037086041735986,19.41425258972061,14.657245519225109,transformer_global_model
4,50,10.762722210884345,254.17450162176013,15.94285111332851,2.6432804236386667,2.5796051274112486,transformer_global_model
5,50,1.601287358477891,5.737754545219377,2.395361046944568,38.574326462041455,30.45875573739632,transformer_global_model
6,50,3.817301220034014,29.84202127089488,5.462785120329636,8.474993910101952,8.431328701453163,transformer_global_model
7,50,9.682807257823129,221.73855424893028,14.890888296167232,5.923039413130518,5.5506177078991525,transformer_global_model
8,50,7.835155095833333,100.4533133402445,10.022640038445186,5.4413003259839625,5.433030310979374,transformer_global_model
9,50,3.2591689590136057,28.206897743292743,5.311016639334953,8.863543722865893,8.906481807731476,transformer_global_model
10,50,48.436524772534014,4142.607843606755,64.36309380077029,9.165549812759693,8.910590833921448,transformer_global_model
11,50,3.589151769642856,25.80764543188737,5.080122580399745,2.6144613663991176,2.604629550846745,transformer_global_model
12,50,4.713322873724489,38.86787285308957,6.2344103853603965,5.680639780074256,5.639697329639133,transformer_global_model
13,50,9.71853853018708,170.5533977948746,13.059609404376326,8.717820284485267,8.644555881113495,transformer_global_model
14,50,8.87809366547619,143.44193781699332,11.976724836823852,6.803083472404631,6.671827099697427,transformer_global_model
15,50,4.15341386972789,52.07483084091807,7.21628927087309,4.989483737567365,4.829966544513847,transformer_global_model
16,50,16.66074533562925,875.5646293000533,29.589941353440587,4.258358018440702,4.200489297461528,transformer_global_model
17,50,4.71024343829932,38.508329083079765,6.205507963340291,13.46281018644911,12.416567290945544,transformer_global_model
18,50,14.148497294217693,362.4399505300596,19.03785572300777,2.428728444094963,2.4128093020225125,transformer_global_model
19,50,5.637272429081633,64.4665937197775,8.029109148577911,11.618468573980678,10.854054280356216,transformer_global_model
20,50,10.437662805102038,311.74301888497246,17.6562458887775,7.815655685897085,7.289701231471129,transformer_global_model
21,50,2.5406098686819725,12.036238837289284,3.4693282977097,19.87576978110945,17.827062731649363,transformer_global_model
22,50,1.121128224659864,2.165192433876906,1.4714592871965253,13.10651903854622,12.533693408896257,transformer_global_model
23,50,6.369557327210879,81.4586726320066,9.0254458411763,2.3744494271117222,2.3425879208940725,transformer_global_model
24,50,15.103534647789113,395.52202962611193,19.88773565859401,6.80241785071287,6.669721841919647,transformer_global_model
25,50,9.246206650340136,228.8914857674502,15.129160114409862,12.373943451170115,10.95666602913398,transformer_global_model
26,50,6.309357947967687,82.5513736707045,9.085778649664787,14.537243923594817,13.564888588631272,transformer_global_model
27,50,4.2579771971088425,32.953238218907416,5.7404911130414105,4.55581900803119,4.505384507469796,transformer_global_model
28,50,4.687925677916668,45.50708717707737,6.745894097677295,8.614677228584098,8.642947878427037,transformer_global_model
29,50,25.89865944956597,1391.3765821064096,37.30116059999219,7.218319461738104,7.234027570973121,transformer_global_model
30,50,10.302538804506804,233.67843954591248,15.286544395183382,5.595047869736845,5.577365471654238,transformer_global_model
31,50,10.598134877295918,229.8940506458268,15.162257438977443,7.495486973494793,7.43098970137855,transformer_global_model
32,50,13.556724965391158,454.55942642990846,21.32039930277828,13.863873245612949,13.104267052472244,transformer_global_model
33,50,8.073163687244897,106.8790551808673,10.338232691367867,6.490756166848321,6.380532256909308,transformer_global_model
34,50,6.5742387458418365,77.36719338701185,8.795862287860801,11.329304675630633,10.77361960600767,transformer_global_model
35,50,5.078770532355442,44.39881915107035,6.663243891009119,11.348250816412932,10.682989069358047,transformer_global_model
