round,MAE,MSE,RMSE,MAPE (%),SMAPE (%)
1,42.286776057539676,2116.3965317190714,46.00430992547406,75920.83020592885,136.9433242977922
2,39.32246665972222,1871.6966405717667,43.26310946489823,74265.33196222852,133.5944096984477
3,32.617818558531745,1294.3323636238651,35.97683092802735,57149.700619083866,133.85183475111046
4,27.1029589578373,925.3611554289816,30.41974943073959,45413.086561451855,132.78887132064335
5,23.18718001438492,721.4622830790734,26.860049945580396,36272.204606957246,132.43758621708184
6,20.597513049107143,608.0975082485736,24.65963317343901,30744.083588661073,131.8850896519727
7,20.32987775669643,604.6338911459476,24.589304405491987,30140.803605387693,131.81858333556812
8,19.758081459474205,593.9547419434756,24.37118671594544,28796.410708389663,131.68676591098435
9,18.88711072594246,570.5609072783635,23.88641679445378,26559.276120281764,131.56698902519895
10,18.462379037152775,551.2501806574057,23.478717611006903,26169.419768056014,131.08178260113456
11,17.695772987683533,530.0598431996351,23.023028540998578,24157.523082438893,130.60669630871837
12,16.91069780737599,505.14376933533896,22.47540365233379,22564.163602173376,130.5648274426789
13,16.631046423839283,487.2208161024821,22.07307899008387,22538.2413435478,129.8874819579738
14,17.22831099188988,510.57873678105665,22.595989395931674,23993.91823466439,130.20753165042615
15,15.743229541661705,451.5697397812079,21.25017034711035,21471.008221467608,129.0305815745163
16,15.000096857688494,401.4097629107132,20.03521307375375,20559.245609066085,129.36939157005452
17,13.952983996197915,348.4616926863149,18.66712866742807,19296.675811374364,128.84482362678241
18,13.543971612996032,324.6900431896998,18.0191576714812,18984.587423816793,128.53835437981107
19,13.105584855214781,302.13585418290893,17.382055522374472,18674.176544849193,128.04766000517506
20,13.557569092559524,305.91461238760456,17.490414871797768,20118.381962389656,128.03608129496874
21,13.47050616908234,300.9810923957208,17.348806656243557,20066.261936284787,127.9092571377491
22,13.891356825396828,308.5936022147235,17.56683244682215,21195.402275868648,127.9528454477127
23,13.907161594692457,307.1821959362629,17.52661393242468,21330.773101739516,127.95849270823194
24,13.726970155287699,301.14058598132465,17.35340272054229,20766.701163277365,127.97550895903642
25,13.833987299206349,302.480295379241,17.391960653682524,20942.318775976004,128.07527383811265
26,13.38766444985119,287.7508567658191,16.963220707336774,20303.92141939284,127.80246472303264
27,13.211119441418651,282.8006166769732,16.816676742952907,19716.12071227597,127.85833067022145
28,13.478563637648808,287.8575174255535,16.966364296028583,20358.326231652467,127.97546582840627
29,13.277226985466267,280.6961891865389,16.753990246700603,20185.08484927075,127.77172919478707
30,13.488254490674604,285.42767541894284,16.894604920475143,20463.06493214126,127.98076427618383
31,13.635108383283729,288.5405810521181,16.98648230364716,20690.42042129615,128.07090991115763
32,13.390134380902776,279.2385758276981,16.710433143030677,20395.853495758034,127.92561768704
33,13.01797483611111,269.5896437985357,16.41918523552663,19440.024802314605,127.86987356559187
34,13.626393133680557,283.5261025098569,16.83823335477499,21007.93810112105,127.92571479665071
35,13.6226832359127,282.67277401485023,16.812875245324644,20872.45108437586,128.0061913346512
36,14.070304066468253,294.19277587614937,17.152048736992015,22068.734442705783,128.02053949791394
37,13.666685318898807,282.5650748631477,16.80967206292698,20952.867674882586,128.01776712664426
38,13.443575708630952,275.0561237238282,16.584816059390835,20525.038273991653,127.93728200797231
39,13.400587370039682,273.666687022993,16.54287420682975,20395.425011783478,127.9484609365942
40,13.658588370684521,279.62044349453106,16.721855264728585,21072.309502148917,127.96706362599383
41,13.382157809970236,272.3322145183249,16.502491160983087,20274.946838466025,127.97515823311801
42,12.924227864285713,258.81628295281155,16.087768115957278,19391.619465871205,127.78840780468408
43,13.40824424920635,270.5198148404283,16.447486581250896,20629.632249249764,127.85183330015685
44,12.986381273214285,259.61328967619124,16.112519656347708,19532.464106203282,127.810266712826
45,13.563942964037697,274.09772803958464,16.55589707746411,20879.734704176346,127.91752946573742
46,13.805487299355159,279.8470339321229,16.72862917073969,21507.85510933037,127.9421022577113
47,14.436953682341269,297.6520115621114,17.252594342941915,23138.726904770516,127.97231929964774
48,14.132420621626984,289.04224499827734,17.00124245454659,22257.27749807989,128.001710659882
49,14.122353869345238,289.7765562525392,17.022824567401827,22067.35765483435,128.0595906586464
50,14.41995607688492,297.7322978069674,17.25492097365176,22860.06237275062,128.0870697989964
