round,MAE,MSE,RMSE,MAPE (%),SMAPE (%)
1,41.35567572767858,2048.554771917288,45.260963002539924,76208.7624823567,135.36729967941108
2,36.538741799603166,1609.6160999497408,40.120021185808724,67232.06585451054,133.65992835522786
3,31.118315931051587,1180.2472391915974,34.35472659171656,55339.62238422015,132.82579435330524
4,26.407779873015873,875.5953166464444,29.590459892445814,44685.28144667995,132.27290862085815
5,22.642625640376984,679.5421791030817,26.068029827800213,36096.529102599816,131.83806875774323
6,20.86866293973214,611.3669967786158,24.725836624442373,31500.884921477023,131.86188745883987
7,19.497073712251982,562.4738929579386,23.71653206010395,28360.474081185355,131.6414504828941
8,18.90578806810516,555.7569071541577,23.57449696502892,26466.51334952773,131.75668225422405
9,18.397781782539678,537.5174014096066,23.18442152415295,25929.58125058834,131.27704047401053
10,18.843126200396828,564.2577697149912,23.754110585643723,26925.171461604146,131.29519012736085
11,18.287538136210316,541.0057365227307,23.25953001508695,26351.778921758534,130.7456222530201
12,17.42493832019345,509.6833911492809,22.576168655227594,25068.24762458174,129.74695486652251
13,16.508896459535713,477.56411907345034,21.853240470773443,23133.768046980695,126.79790414692613
14,15.862512934374998,427.2361776120368,20.669692247637283,22540.981805393967,129.5117730377266
15,14.32323599861111,357.361911009936,18.904018382606804,20033.731204894015,128.92785909610643
16,13.480287869543648,315.8813499580642,17.77305122813931,19188.91678344285,128.41977593143673
17,13.352846879751983,302.8995649056188,17.40401002371634,19273.214668277917,128.28768665830484
18,12.867428111061505,284.44546367277286,16.865511070607166,18795.89849523274,127.9461058013538
19,13.217996201843253,291.12506549908545,17.062387450151444,19381.816174220803,128.11588716344286
20,13.538838969196426,295.6167924462597,17.193510183969405,20598.695206626475,127.97694209334041
21,14.209838488392856,313.5033117838145,17.706024731255024,21990.65877923576,128.15449262134283
22,13.738098221329363,298.318974897405,17.271912890511143,20907.433762753375,128.0616942351549
23,13.252957798164681,284.64864838092274,16.871533670088287,19711.14341705689,128.02510070094058
24,13.846770452430555,296.9103453634235,17.231086598454073,21354.946310027957,128.0275318952221
25,13.44249519394841,285.0404151396538,16.88313996683241,20348.25054488441,127.95288165609604
26,13.260807669742062,279.80532912688545,16.7273826143508,19775.85529482123,127.9954160922049
27,13.620343239831348,285.84692892209017,16.90700827828774,20943.88425014112,127.94073595321582
28,13.703709673710318,287.303957483458,16.950042993557805,21120.306883219226,127.95419401958033
29,14.183939092609126,299.2569198727464,17.299043900538155,22224.59773430784,128.05737754676795
30,13.891698881498014,290.3653189896453,17.040109124933597,21494.019496114954,128.01552313403982
31,14.083585476686508,293.3776205161829,17.128269629947532,22212.540026645634,127.95784003989814
32,13.712661035763887,283.9703469786738,16.85141973184081,20851.585428302034,128.11494411952643
33,13.829616563640872,285.2310707026516,16.888785353087165,21287.998181582996,128.07356237522598
34,13.299226677827379,270.53099830575934,16.447826552640908,20154.26566413029,127.86964302514556
35,13.441838682490081,272.75474051921594,16.515288084657076,20649.554384724484,127.842745193675
36,13.539873195882935,275.58156550085414,16.600649550570427,20725.625098993038,127.92939810431325
37,13.472129801984124,272.7673256976814,16.515669096275857,20583.164636311416,127.92180812075277
38,13.664528055307539,277.0561978346555,16.645005191788183,21321.11621783647,127.81577603298689
39,13.903445518551587,283.34209752247006,16.832768563800492,21896.80079481569,127.84543740612986
40,14.228057863740078,293.1064703603637,17.120352518577523,22345.702746029936,128.0480886091152
41,14.029329133730156,286.6773524630716,16.931549027276613,22016.195003729586,127.95191885938502
42,14.300113301190475,293.14017432144004,17.12133681467192,22806.387460759488,127.94154259204164
43,14.676525100049602,305.3843083625357,17.4752484492363,23597.042845664266,128.04390405493336
44,14.283647744890873,294.0190079233944,17.146982472825776,22661.91039477716,127.96862494260617
45,13.516878564335316,271.59654156108786,16.480186332717476,20933.56191186689,127.8113218579157
46,14.137161807738092,288.8893577225209,16.996745503846345,22531.34649601252,127.84973233347303
47,13.157496830009919,262.54973434303537,16.203386508475177,19929.119712293974,127.83968993866495
48,13.431691072966267,269.8610431806485,16.427447859623495,20831.377805166125,127.74879937224341
49,13.527152320833332,272.575169606942,16.509850683968708,20915.332563132626,127.83908674007343
50,13.442397870436507,269.8282539233215,16.426449827133112,20745.395520525104,127.80465139316608
