round,MAE,MSE,RMSE,MAPE (%),SMAPE (%)
1,44.80387838045635,2362.8404367012045,48.60905714680346,80194.3221272131,138.20873265660893
2,44.72362678918651,2411.321774332279,49.10521127469343,85129.51941375881,134.9908763433205
3,39.64363779861111,1888.736521723417,43.45959642844624,73210.91705730956,134.6166001542043
4,32.798395167658725,1314.2735006014923,36.252910236303684,58419.79522610201,133.40946523969723
5,27.097014188492064,932.8059598433704,30.541872238672113,45668.73526388043,132.66576214454972
6,23.988859064732143,757.7184366329157,27.52668589992111,38954.35380207725,132.1404155453042
7,21.871346092757936,660.60439976049,25.70222557990825,33844.136266598885,132.01792601313852
8,20.16305737078373,591.3253725901116,24.31718266144562,29608.88473483094,131.9616468268364
9,20.146592251488094,586.0860157032811,24.209213446605016,29718.016134383917,131.88687001753186
10,19.845515539930556,581.6339273692686,24.117087870828612,28606.85488155773,132.04728252989207
11,20.196122828125,581.261218071235,24.109359553319432,30122.087234540748,131.74676380978465
12,20.409438150545633,596.4094783980788,24.42149623585907,30233.985766497506,131.95206943659784
13,19.902306339533727,573.1808751501987,23.941196192968278,29263.831872729406,131.78134648310257
14,19.44505578000992,560.3064440928943,23.67079306007499,28015.523234875916,131.8031331904105
15,19.460509215773808,566.0618454387413,23.792054250079822,27794.523114214742,131.92228568887114
16,19.074192708085317,548.7497841290798,23.425408942622106,27000.090332867836,131.81554659222115
17,18.913650231646827,544.5867543473844,23.33638263200585,26658.717462655328,131.7571731029133
18,18.65854189786706,534.9573002943952,23.1291439593945,26094.83401844106,131.68733132199742
19,18.343286735267856,529.0713120329399,23.00155020934328,25194.86293430277,131.69581911651107
20,18.9321549109623,547.2270117409485,23.392883784197032,26817.26386125571,131.61308241961234
21,18.65607243948413,539.598291477066,23.229255077962918,26328.185701148603,131.44972254379866
22,16.26807530188492,448.9536454486421,21.188526268918327,21942.745641609497,130.45806279666127
23,16.482623880704363,421.1229899174647,20.521281390728618,23979.74504941088,129.8451249877631
24,15.850986680555556,378.1685255927457,19.446555622853772,23917.47776593669,129.2402991659361
25,15.34400781125992,356.5363284946348,18.88216959183014,23209.261050097048,129.02066528218825
26,15.228486269345236,349.91993239631176,18.706146914752694,23219.66237326341,128.91071429923556
27,14.926095550099204,341.81801187064184,18.48832095866582,22239.991323422575,129.0415323015081
28,15.549062048660712,357.1260767897831,18.89777967883484,24056.89127912699,128.95975363835217
29,15.716140383184523,359.5872209939008,18.962785159198024,24672.30976641429,128.86456093726946
30,15.33895239563492,347.6381436200751,18.64505681461108,23920.625059724774,128.7409634214916
31,15.353064441567458,346.80415010902584,18.622678381721194,23921.09422905688,128.76398531503736
32,15.419820433630953,347.2580356073154,18.634860761683072,24155.79614095768,128.73768451622644
33,15.494971438839283,349.9996548363021,18.708277708979576,24181.275353673263,128.82883262696356
34,15.50646719484127,349.009798812931,18.681803949643918,24115.17028779523,128.8958144979126
35,15.90833128968254,359.7429921617319,18.966892000581748,25370.195070153262,128.76392798246567
36,15.610276789285713,351.3613041004525,18.74463400817558,24602.10484606177,128.74704974118197
37,15.359337283779759,343.05676392668823,18.52179159602786,23796.915941191175,128.83692379194895
38,15.458349803869048,344.65262174545967,18.564822157657737,24369.489617560786,128.65713363351168
39,15.768159627232142,352.8496423860833,18.784292437727945,25091.309100151007,128.72733818955479
40,15.872307921875,355.95923768993816,18.86688203413426,25163.002973470462,128.847585936695
41,15.784206031001982,352.31748668099107,18.77012218076886,25140.068202057486,128.7192672011432
42,15.149551947867062,332.79019962439844,18.242538190295736,23695.691930758658,128.59591914176954
43,14.6610575453373,317.8940011815052,17.829582193127948,22611.13980607583,128.4951212956007
44,16.077777434027777,360.32148203727115,18.982135866052353,26084.81754757495,128.6061678586813
45,15.828793762152777,351.61070550257347,18.75128543600607,25496.173562712574,128.57677658473935
46,15.13103089112103,330.9009125413177,18.19068202518305,23689.431041631367,128.56172506167013
47,15.192557690674603,335.1494616504112,18.307087743560174,23550.387681878296,128.6996082459333
48,15.350180508184524,337.4423425296691,18.3696037662675,24172.388643797793,128.59910653812872
49,15.383192218501984,337.19742819900137,18.362936263000027,24377.385925015737,128.55847720400138
50,15.161315306795633,330.86510600574087,18.18969779863703,23683.559588703396,128.6021074799625
