round,MAE,MSE,RMSE,MAPE (%),SMAPE (%)
1,46.35757083779762,2597.1137180413725,50.96188495377082,88513.71330194833,135.41201743833076
2,37.017159126488096,1625.2672761730626,40.314603758105605,61019.19323983212,138.1375791157484
3,32.44403035119047,1281.1019010028247,35.79248386187839,54113.14185688534,135.36496614055577
4,27.601811008928568,969.9763742018131,31.144443713153926,45070.10767478937,133.65990992112967
5,24.47635415575397,789.9693189645527,28.106392848683956,39463.70969683087,132.46413747498954
6,23.130346423611112,727.9654456118204,26.980834783449907,36040.23406949687,132.43451147531073
7,19.913203783730157,605.2011099099792,24.600835553085982,28037.606501074835,132.2540325567871
8,18.417706048859127,517.6798778872227,22.75257958753738,26702.07705531109,130.92053546366162
9,16.969622312698412,426.4273486407387,20.650117400168423,25465.87127170137,129.8205874276948
10,15.59952134503968,364.95095281189066,19.103689507838286,22884.078445537783,129.58560709754715
11,14.884917904464283,336.67896150489076,18.3488136266324,21585.172807135325,129.3927007135177
12,14.204151161210316,319.8499538474304,17.884349410795753,19960.874691632678,129.1896978229249
13,14.203150911507935,315.62742423319924,17.765906231689936,20570.93974694376,128.80840538978458
14,14.705308036359126,328.7882905227787,18.132520247411243,21829.82953800103,128.8369692663195
15,13.62332631999008,298.349989678731,17.272810705809608,19531.352372892947,128.4984927382897
16,14.126115537103173,308.2652013905004,17.55748277488833,20918.241988864076,128.53798785189247
17,14.380901256696426,317.12265094617203,17.807937863384744,21441.81262332746,128.58256791355714
18,14.639072628323415,320.0224739113186,17.889171973887407,22762.398481812885,128.2944447866918
19,14.909319335962302,329.0581785131116,18.13996081895194,22960.032207942648,128.57561013694422
20,14.085861714384919,304.4031502517171,17.447153070106225,21382.667337865347,128.26721161761606
21,14.082402971924603,304.5762583483321,17.452113291757307,21261.341434542694,128.33530155412726
22,14.287624450892856,311.3886851013158,17.64620880249681,21816.29218697182,128.30277481230803
23,14.060298249503967,301.36420650110085,17.35984465659474,21611.911874705755,128.12702746500037
24,13.83032622723214,294.7759155063219,17.169039446233498,21249.09543369346,128.02508018309155
25,14.157227054067459,301.8256528832455,17.373130198189543,22171.018537546395,128.0123805147443
26,13.879007267311506,295.21931212752645,17.181947274029405,21408.252383239796,127.98829598757983
27,14.994288157390873,328.738615653046,18.131150422768158,24342.886666283976,128.03252819591685
28,14.506488232390872,314.6787339679194,17.739186395320374,23117.155337162818,127.97235700314793
29,14.778849396726187,323.8253338421512,17.99514750820763,23899.118555722955,127.94166561377993
30,14.686463469146824,321.0534785388633,17.917965245497697,23799.221979538936,127.8644163623796
31,14.210008614831349,308.7752995975327,17.57200328925341,22531.1348079758,127.76871824296046
32,14.67739878095238,323.1639475756956,17.976761320540906,23921.210332918014,127.7273530690853
33,14.06287194126984,302.6364120457196,17.396448259507444,22616.922553392873,127.56303098762085
34,14.325021779365079,312.55960153654775,17.679355235317484,23066.78139657055,127.66614525143056
35,14.840048428869048,332.2180480454596,18.226849646756282,24580.36829872909,127.55134231160194
36,15.095837635367062,337.57198074750835,18.373132034237067,25035.932904684545,127.74931359398731
37,15.080517212896824,340.70312098648924,18.458145112293632,25081.418462645193,127.68466891901136
38,15.519039814831348,361.2516478427989,19.00662115797542,26269.769651440667,127.63923299759593
39,15.863564737003966,377.43705950978097,19.42773943385542,27214.4837766123,127.61306073109976
40,16.243681785813493,398.43739796266425,19.960896722408645,28119.566295580906,127.60389116775606
41,15.15695423764881,346.4786219928911,18.613936230493835,25471.123090091736,127.58940194807961
42,15.07898384126984,339.73356597524514,18.431862791786543,25149.44102013888,127.69155112971819
43,15.18804674657738,346.22545870124225,18.6071346182383,25323.782280238043,127.70078207775144
44,14.949823757738095,334.4073596726037,18.286808351175,24745.480369085628,127.68738724148203
45,15.18718530515873,340.8386877300912,18.461817021357653,25266.678294213118,127.77594972729493
46,14.36776033516865,312.62150922243404,17.681105995452718,23291.71884596345,127.6589621114998
47,13.789979873164684,291.6919058608073,17.078990188556446,21873.790819804155,127.62095851375447
48,13.29571778551587,277.4069645736591,16.65553855549736,20689.472472639867,127.51611459357525
49,13.982166903224204,297.58899802945155,17.250768041726477,22472.326152755086,127.57378979288745
50,13.256052754513888,273.8099525395842,16.547203767996095,20534.0575224901,127.58315746126758
