round,MAE,MSE,RMSE,MAPE (%),SMAPE (%)
1,18.39513520436508,531.3707109209564,23.051479582034563,19.851436740545346,19.20303027793334
2,17.26010405257937,496.1712222471751,22.274901172556863,18.592005279423056,17.961613742321244
3,16.109895532242064,462.401897645477,21.503532213231317,17.081091025700623,16.670173021826752
4,15.254754023809523,437.71338335631066,20.921600879385657,16.346115172005042,15.763484552756491
5,14.633884166666666,404.8251446496684,20.12026701238501,15.429810013821232,15.075032770964436
6,14.138798864583332,356.87620229686,18.89116730900608,14.982730614107822,14.378323976757418
7,13.602432009920637,320.4686503390814,17.901638202664063,14.181412481613819,13.639532537277827
8,13.512846409722222,316.0493061496898,17.777775624348784,14.070300555722358,13.44948033501593
9,13.435752818452379,315.8836075043251,17.773114738399826,14.057717866757303,13.295313303022906
10,13.399710017857144,316.96188756106636,17.803423478675846,14.163763586952765,13.257162616363797
11,13.433115512400795,320.3636127081061,17.89870421868874,14.14778525420973,13.223002131543254
12,13.370732553571427,312.76974088411225,17.685297308332487,14.199089003076182,13.247445542842136
13,13.458228635416667,315.279481167218,17.756111093570517,14.364653118733854,13.349439047667616
14,13.7499333015873,323.5205270503584,17.98667637587218,14.661751025345987,13.580839168671965
15,13.413015864087303,306.807847621398,17.515931251903165,14.263915065231497,13.332306756596097
16,13.625571117063492,314.77773910428635,17.741976753008284,14.366959769217155,13.433618966350775
17,13.550991612599207,310.0955146157466,17.609529085575986,14.341521679727052,13.426574389437867
18,13.676442078869048,312.0362450796988,17.66454768964376,14.421599516357746,13.527211542282602
19,13.515757311011905,304.3167144622314,17.444675819923724,14.216493467774422,13.38854900523527
20,13.55713108531746,301.9806033540584,17.37758911224622,14.364228472434315,13.497904925528948
21,13.52541850297619,301.42370637878054,17.36155829350524,14.319649342445754,13.470292169381173
22,13.7472999375,308.3673635962371,17.560391897569858,14.52639584905758,13.629238564600104
23,13.552654703869049,297.94769566664576,17.261161480811356,14.232821800936085,13.458083700864359
24,13.58605942906746,301.0922463817411,17.352009865768895,14.294862296851676,13.48011639557784
25,13.628332730158728,300.43559013658336,17.333077918724747,14.360188524674511,13.538250252327922
26,13.40411190873016,296.5852827613618,17.221651568922237,13.997166047722484,13.26036467834076
27,13.549963856646826,297.4972205269416,17.248107737573463,14.200865396392087,13.423679494439291
28,13.774907830357144,303.3737711603729,17.417628172640867,14.45867939163589,13.634702382514849
29,13.628940483630952,301.261220347565,17.35687818553685,14.249465059508616,13.483821447120148
30,13.532043038194443,299.0316725198386,17.292532276096484,14.118754639709486,13.378435665723586
31,13.506286089285714,299.8864905672709,17.317231030602755,14.062755222080098,13.340445945328042
32,13.412666276785714,295.4670096580518,17.18915383775629,13.992084205843506,13.264086152896718
33,13.26739567609127,291.13715053948766,17.0627415891904,13.812875554429871,13.124060996020582
34,13.275219284722223,290.4752275852818,17.043333816635812,13.82893048031843,13.127213721389774
35,13.547610945436508,295.4067824793684,17.18740185366504,14.166989446151874,13.405176955452665
36,13.284567438492065,291.2592934945681,17.066320443920187,13.832052541342001,13.12932322728134
37,13.268964780257937,292.8833660334603,17.113835514970344,13.7622825837923,13.07530310985355
38,13.099327835813494,286.2482052668676,16.918871276384476,13.609867402415224,12.941498046255468
39,13.247302101686508,291.18424853475767,17.064121674869693,13.769558099434695,13.056927361290732
40,12.891301215773812,280.7230030025134,16.75479044937636,13.397347812719126,12.750071891161877
41,12.91541640873016,283.49626164900553,16.83734722719127,13.394785048343266,12.725927895363911
42,12.790203411706349,278.59129000945853,16.691054191076685,13.279716875752442,12.613982735827397
43,12.539179893353175,272.5863207316356,16.510188391766935,13.011053406556753,12.367129191149989
44,12.664815701884919,275.4050769401685,16.59533298672155,13.182017322448116,12.48073789325978
45,12.293253652281745,265.08842115989574,16.281536203930383,12.704716543114419,12.114195672089634
46,12.356988930059522,265.2004095278015,16.28497496245547,12.924889509288453,12.234668823066707
47,12.087998220734127,258.5263725110247,16.078755315975943,12.582127711714342,11.95852722227974
48,12.107529040674603,258.06933103005304,16.064536439936667,12.627260426641595,11.992785554527805
49,12.145128671130951,260.2889851382692,16.133474056701775,12.704578912086573,12.03319850631854
50,12.059376820436507,257.0744672610047,16.033541943719257,12.581257634594914,11.95695616643136
