round,MAE,MSE,RMSE,MAPE (%),SMAPE (%)
1,19.575942953373016,589.0405864057535,24.270158351476685,20.589924427359534,20.44900272843135
2,18.881411669146825,556.98035889455,23.600431328570036,20.578941471530193,19.699338997155607
3,18.39669428720238,535.2785105194725,23.136086758989137,20.651552532394017,19.20505738126883
4,17.84959278125,512.0467528300696,22.628450075735845,19.63962979877203,18.617875839361133
5,17.2505208640873,490.1978180620315,22.140411424859103,18.49458663366447,17.92505780080417
6,16.83778137748016,478.49193056652325,21.87445840624456,17.917380267254465,17.43478679644534
7,16.833780073908727,481.38218949688803,21.940423639868214,17.81566639370277,17.398191009782987
8,16.62291527232143,472.5554314751397,21.73834012695403,17.646532783258063,17.176193067225523
9,16.45031518700397,466.8458063187287,21.606614874124283,17.63404818407236,16.994812079170547
10,16.313781916666667,461.6106022185065,21.48512513853495,17.515817482066378,16.85103723122238
11,16.23666368303571,457.79842271322156,21.39622449670085,17.46524026066386,16.780687712806934
12,16.411635635416665,466.33418085917486,21.5947720724062,17.53638339064256,16.947496745218135
13,16.181226030257935,456.19320264680533,21.358679796438857,17.249374333415254,16.70517059916432
14,16.12818888888889,455.21495641329517,21.33576706878136,17.051121244362186,16.632172370241506
15,16.092871821924604,454.2355024345582,21.312801374632997,16.860282299930446,16.580414688280506
16,15.83602157093254,444.16385837948974,21.075195334313978,16.580032422591508,16.306521831010393
17,15.245819679067461,418.68400630690894,20.46176938358237,15.989841581071706,15.701962069047687
18,14.685904875,396.18328519920675,19.90435342328926,15.110928326636058,15.092069535504107
19,13.467755455853174,337.5925087929689,18.373690668806006,14.033673152000697,13.897042948707721
20,12.701165888392858,301.0282542375254,17.35016582737829,13.172878840771604,13.100086464756034
21,12.417223438988097,276.7337262390266,16.63531563388644,12.821598002744341,12.763703062767338
22,12.425955890873016,265.37575186650156,16.29035763470224,12.999003460861266,12.755094212737436
23,12.697179936011906,271.8628894172284,16.48826520338718,13.21829714755753,12.996665329195281
24,12.708412600198411,269.90996164240124,16.4289367167325,13.334992337123076,13.005499206096555
25,12.69599973859127,269.9122315253024,16.42900579844387,13.30955106335063,12.983982155503625
26,12.460043792162697,267.92460557896027,16.368402658138645,12.934502858798783,12.725023482757303
27,12.3759576875,263.62790197263183,16.236622246410484,12.933588520503628,12.64584278179025
28,12.3525960203373,262.6451771394746,16.206331390523722,12.919804628109713,12.618816092331924
29,12.415359779265874,261.7733400940881,16.179410993422724,13.039123698614786,12.678955396215533
30,12.321420400297617,259.3508519461845,16.10437368996958,12.915761847699859,12.572502913290744
31,12.344025375000001,260.6018262756269,16.14316655045183,12.884837822157388,12.604909685023053
32,12.286741850198412,258.62721370342786,16.08189086219117,12.939149475006454,12.576957838165542
33,12.17099213640873,256.5154333837792,16.016099193741876,12.732171197819605,12.448639503617944
34,12.18211349702381,254.4901313312584,15.952746827153574,12.742754397728332,12.439123093003221
35,12.175772591765872,253.71133648251038,15.92831869603664,12.809398851683554,12.462005503591048
36,12.225886181051587,254.49021904029865,15.952749576179608,12.832770929283294,12.49746377104365
37,12.132931749503967,253.9540527044006,15.935935890445863,12.736116581805964,12.42410181364351
38,12.260427766369048,252.97453445164427,15.905173197788331,12.935006337952823,12.536588116894121
39,12.36811064781746,254.10785569541665,15.940760825488118,13.20439804468628,12.691152561213467
40,11.98971759077381,249.67217794403504,15.801018256556603,12.580810370631495,12.276892449225482
41,12.086243012896826,251.08911571270227,15.845791735117002,12.643502954984529,12.356808715480595
42,12.15952411458333,251.18556131646093,15.848834699007398,12.76575702307653,12.429206880930042
43,12.141715396329364,250.25076419664765,15.819316173483848,12.785227189495338,12.42947281023696
44,12.084396782738095,250.46899291517298,15.826212209975354,12.714631734270693,12.380886036225395
45,12.111281172123014,251.27224976362288,15.851569315484914,12.682404278689214,12.39312893221151
46,12.119732993551585,250.48792212039038,15.82681023202055,12.713242488902193,12.39122299001352
47,12.14141136656746,250.21446062329517,15.818168687408008,12.724820409054105,12.411969617112394
48,12.295300277281745,251.34528903401952,15.853872997915037,13.004662425712105,12.580013194885487
49,12.09084028918651,249.1088836574213,15.783183571682276,12.766975850548295,12.394623092102075
50,12.040098125496032,249.30880947158008,15.789515808649107,12.626626492836063,12.320660158821722
