round,MAE,MSE,RMSE,MAPE (%),SMAPE (%)
1,18.94830053125,572.0986906205163,23.918584628286773,20.846755797182958,19.772150305245518
2,18.635817684523808,547.3597356380536,23.395720455631487,20.36004448300729,19.446806745075392
3,18.213814989583337,528.0061522707687,22.978384457371426,20.0540160909068,19.010164814202803
4,17.776998401785715,509.00842507511965,22.5612150620289,19.541699959035675,18.54383954518958
5,17.219725247023813,488.266809826867,22.096760165844834,18.83765809354131,17.93060398248929
6,16.920264318948416,480.82905539349514,21.927814651567427,18.118819351910116,17.54556360131457
7,16.90372105704365,484.01455115234427,22.00033070552223,17.807813547985223,17.476085017211826
8,16.656869362103176,473.0258973544505,21.74915854359544,17.818855753307986,17.2384067594623
9,16.62252036656746,472.54547037031466,21.738111012006417,17.575619352871506,17.17076637347482
10,16.324400341765873,460.17946290549145,21.451793932104874,17.502329900005275,16.870367371519347
11,16.324331016865077,461.01727132729394,21.471312752770707,17.400398521914724,16.85372053141555
12,16.240832916666665,457.60434053703835,21.391688585453892,17.30999169767131,16.767814357102193
13,16.161262035714287,455.4400162001251,21.341040654104127,17.040036687596864,16.661679461465788
14,15.820539917162698,440.9720473211239,20.999334449480152,16.747586145835655,16.304742461521514
15,15.702294178075398,436.4449213682892,20.89126423575867,16.491580132360156,16.173434855384443
16,15.420344022321428,425.38476148663705,20.624857853731672,16.089747186328008,15.87424788202568
17,14.862817868551588,403.4998299722372,20.087305194381777,15.35514465981192,15.282693710262116
18,13.959079078373017,365.88742964079955,19.128184169983296,14.39299217577954,14.352308294571966
19,13.020149824900793,323.4391442606065,17.984413925969523,13.491256958240564,13.411953203855601
20,12.690896106150793,307.5482858990332,17.537054652906605,12.976447707608274,13.026573794995219
21,12.741883711309523,286.48477486900197,16.925861126365238,13.447202266636424,13.11182033733536
22,12.629580021825396,280.9277377234188,16.7608990726458,13.186453350076304,12.94092787943585
23,12.698863652281744,281.54897044809564,16.77942104031291,13.16303766376428,12.980644028962407
24,12.64903795436508,275.962282786124,16.61211253230979,13.248013513554055,12.925913850930518
25,12.745432049603176,275.20570556177694,16.5893250484092,13.539181796843664,13.043785516856063
26,12.668268602678573,274.3796040010514,16.564407746763884,13.27605417854804,12.936029285836954
27,12.613605060019841,271.92463804569707,16.49013759935608,13.215872939455672,12.877804817043856
28,12.62051640575397,269.6779244905214,16.421873355087154,13.326039415153474,12.901977086379004
29,12.577162547123017,269.98316961580366,16.431164584891835,13.135387036359713,12.849753295491356
30,12.447468368551586,264.25461150313373,16.255910048444957,13.081364564507481,12.711732116487525
31,12.28695412549603,261.51894549882167,16.17154740582427,12.832968681589385,12.540159150857006
32,12.451319916666666,261.7052751010566,16.17730741196002,13.181655372974713,12.729747955338802
33,12.388391490079364,260.5408178335078,16.141276834052125,13.067597372435952,12.671806599409683
34,12.378832524305556,258.7318387491634,16.085143417115166,13.026955721249983,12.649222147488507
35,12.396411911210317,259.00538688913974,16.09364430106307,12.99332302456808,12.662101449779946
36,12.395734564980156,258.1376489818319,16.066662658493577,13.052068937432232,12.681074382318966
37,12.345460834325397,257.3820756284034,16.04313172757749,12.940517654954728,12.617196786970647
38,12.240655477182539,255.10325298479611,15.971952071828794,12.871239923844207,12.519390248691304
39,12.330334256448412,256.65492201882114,16.02045324011843,12.889763918408233,12.584590584242527
40,12.525332879464285,257.78604020914986,16.055716745419677,13.251021039142005,12.793162565883797
41,12.364700582837301,255.68347551583085,15.990105550490618,13.057372174451467,12.658781904104844
42,12.145877864583333,252.55305498834804,15.891917914095455,12.70472259713012,12.402628465226103
43,12.343268837301586,254.84260738190508,15.963790507955968,13.026626991466431,12.63079422613383
44,12.492355694940475,256.6764939499954,16.021126488171653,13.154495882385126,12.74802509279179
45,12.414466888888889,255.34674951122304,15.97957288262809,13.062329691727465,12.687461287159401
46,12.44249779811508,255.59556501987512,15.987356411235572,13.223611935370972,12.752785047141844
47,12.361448104166668,254.3350763658626,15.94788626639476,13.075429685090228,12.655128360112075
48,12.337380966765872,254.6561375210114,15.957949038676976,12.97435167327945,12.614006699871569
49,12.307215391369047,253.7435633732234,15.929330286400097,12.908870756508058,12.557531521705073
50,12.307575759920635,253.7242944830435,15.928725450676946,12.964760046860347,12.585358981677922
