round,MAE,MSE,RMSE,MAPE (%),SMAPE (%)
1,18.576094379960317,534.869278607607,23.127241050492966,20.516195245674243,19.411235210523287
2,19.04859156746032,579.5356132303589,24.073545921412553,19.367544859791092,19.832388116804957
3,17.637422723214286,513.3940216129814,22.65819987582821,18.40886393276971,18.2954748476294
4,17.29049141914682,505.5938187525835,22.4854134663471,17.86287480905938,17.87240764348815
5,16.487986774801588,474.8211543132026,21.79039132996933,17.245897612274533,17.02500054520684
6,15.498937473214285,437.0661104142679,20.906126145564794,16.143383287999338,15.977435189649361
7,13.673937444940478,359.82311498965305,18.969004058981405,14.028942592827118,14.061369436739705
8,13.510231131944444,316.0847175950416,17.77877154347402,14.10120799092129,13.8544072297549
9,13.315379853670633,292.6573349728277,17.107230488095603,13.913537459308948,13.587645999125014
10,13.186343808035714,283.5767169238284,16.839736248642033,13.949217472131863,13.461116444692136
11,13.038798526289684,278.6410248212173,16.69254398889568,13.80975348147403,13.305747805877171
12,12.992734304563491,275.8262898116614,16.60801884065831,13.810398273435057,13.263758993569768
13,12.72467050297619,269.7095731431774,16.42283693955394,13.430836666720106,12.970995053450359
14,12.748292750496033,271.1246245898974,16.46586240043009,13.324858102317453,12.973455398961264
15,12.660624190972223,266.2330945513366,16.316650837452414,13.392825155161479,12.846278185931453
16,12.515805731646825,262.14851132146674,16.191000936367917,13.12047909918061,12.695003240237865
17,12.685741143849205,264.2047281598125,16.254375661950615,13.3721310096696,12.846115574704573
18,12.675901732142856,264.48568686326007,16.263015921509147,13.369118318808507,12.852286554986216
19,12.824005165674603,267.2517071888179,16.34783493887854,13.53424070566385,12.974911332375768
20,12.632090424107142,263.57462380849717,16.234981484698316,13.314416550443514,12.790923264231216
21,12.706496723710318,265.45119454800823,16.292673032624457,13.450896648695162,12.864422866118593
22,12.618778516369048,264.9406992352373,16.2769990856803,13.321095452324455,12.77890632563847
23,12.853940058531746,271.57335761480005,16.479482929230517,13.555437484301013,12.940054843546589
24,12.936071172123016,274.0928568662863,16.555749963873165,13.683276188411542,13.036649657190875
25,12.876154352182539,273.5105865324521,16.538155475519396,13.614334406533315,12.971256785975049
26,12.985077252480158,277.6412032985501,16.662568928546104,13.795095845297206,13.08239802236924
27,13.069965317460317,280.61903484794703,16.751687522394484,13.840734899932519,13.14597375552512
28,13.192175891369047,284.1269588368889,16.856065935943917,14.068510604185287,13.276470533374818
29,13.190595202876985,285.1483462309896,16.88633608071892,13.973820538858734,13.225443135428398
30,13.400966885416665,292.5617051056857,17.104435246616173,14.26089776261712,13.427364738392079
31,13.273368898809524,290.01283334919015,17.029763161864295,14.00597872097763,13.265660375068835
32,13.33757297123016,294.43433520523325,17.159088996949496,14.12505481076845,13.318421672181541
33,13.433356509920634,297.7868160436905,17.2565006894124,14.246872731447324,13.40297587939093
34,13.469498330853174,300.1102754300797,17.32369116066434,14.249927041078836,13.413675761586813
35,13.778478129960314,311.5149004661213,17.64978471444117,14.629465721557416,13.691917967534973
36,13.599347514880954,307.162867261967,17.526062514494434,14.39345587231039,13.50778581703593
37,13.68019093452381,310.1834547832757,17.612025856876194,14.49956779711323,13.564875234081672
38,13.864396546130953,317.9989486208595,17.83252502089537,14.72721871838118,13.723844058853707
39,13.660052896825396,312.6267163253703,17.68125324532654,14.449400282717612,13.517995302902758
40,13.814797652777777,319.7242323731636,17.88083421916225,14.582542277647423,13.62686332367308
41,13.807454903273808,318.584059479185,17.848923202232257,14.603630358510813,13.627668878070809
42,13.941083852182539,322.32927380999973,17.953530956611285,14.823007116740397,13.77901535954934
43,13.749251930059522,320.37334733032804,17.898976153130324,14.465581577739789,13.523974198534116
44,13.87733896329365,326.0982839498443,18.05819160242366,14.630870022530965,13.638933383109828
45,13.824601155257938,326.38288800734296,18.066070076453897,14.492408467427406,13.549188058102862
46,13.700588527777777,322.0111151432949,17.944668153613065,14.344720914914793,13.440418834316223
47,13.909522777777777,332.4072705645116,18.23203967098886,14.57283929737627,13.599037644333883
48,13.684977626984127,322.66704536677264,17.962935321566256,14.352974572904326,13.42440951902614
49,13.806762170138889,326.9792179726812,18.08256668652659,14.51698618826693,13.545263192442397
50,13.824900614087301,329.07902276057655,18.140535349337863,14.544375183338692,13.557821709094913
