round,MAE,MSE,RMSE,MAPE (%),SMAPE (%)
1,41.764979975198415,1874.7320712045105,43.298176303448514,31.450367134312636,37.50111547271555
2,37.592081286706346,1517.506756919788,38.955189088487145,28.32467420008508,33.091724280728094
3,23.946610731150795,697.8901365216352,26.417610348433016,17.958116839198674,19.903466679307265
4,20.638334100198414,539.5992647688078,23.229276027651135,15.49005197762718,16.92773642195548
5,16.630510517857143,370.321163635066,19.243730502037955,12.477074822347104,13.3643414648454
6,19.04569771924603,442.82287762184035,21.04335709010899,14.326631694455095,15.439281942571373
7,16.653391081349206,331.1979585837397,18.198844979386458,12.64740159453912,13.432180156730809
8,15.176163634920634,277.2249574036374,16.650073795741488,11.60620831623106,12.238611450338215
9,15.557374092261904,287.95223219623006,16.969155317700114,11.939022819760115,12.61881079840379
10,15.75459831001984,293.3793063560835,17.128318842083814,12.1055795100718,12.809482271734574
11,15.55519796626984,284.0629537771396,16.854167252556255,11.954660289626043,12.632912359926815
12,16.763685896329367,323.332815233383,17.98145753918138,12.880559387202759,13.694344449075171
13,16.284954506448415,307.5685747985238,17.53763310137727,12.526220435102456,13.295056166150717
14,15.489238650793649,283.0524775394229,16.824163501922552,11.930930044352738,12.623296966019529
15,16.592381466269842,320.3098745628303,17.897202981550784,12.760524243289742,13.580927006283256
16,16.25796368402778,308.78121561803295,17.572171624987988,12.488615556857853,13.26751198276718
17,15.125097027777779,270.4185282652005,16.444407203216553,11.618435760580551,12.265994307568489
18,16.83435075843254,331.9082286906628,18.218348681773076,12.94286329550729,13.804182832020901
19,18.179069079365078,384.6149029987178,19.611601234950648,13.931138184138343,14.965670251578123
20,16.711380414682537,326.8046964505279,18.077740357979696,12.802645917915989,13.637230375987844
21,16.03756894394841,305.3916682094967,17.47545902714709,12.318279682409141,13.08660592415754
22,15.552071501488095,285.42771109779443,16.89460597639952,11.91888639408442,12.613700685910755
23,16.285203082837302,311.23438698768075,17.641836270288895,12.490222020753283,13.272862510539152
24,14.938254619543649,267.96523464600943,16.369643693312614,11.475536324209877,12.117344519273471
25,14.821405655257937,262.04718825151986,16.18787164056844,11.393059939110538,12.013465233298499
26,14.802134302579367,259.55120968647554,16.110593089221624,11.374420311646915,11.98405351749847
27,14.246463898313491,244.66495588952978,15.64176958945278,10.940558757742645,11.50074248824731
28,14.534507077876986,252.49693786442148,15.890152229114152,11.177894054210412,11.764494732990759
29,13.569425001488096,225.00976658517592,15.000325549306453,10.44237560108869,10.939222640269634
30,12.379228482638888,189.28582039598373,13.758118345034823,9.538212772681302,9.913427794972204
31,13.754285581349208,228.22814962735578,15.107221770641873,10.59259280413541,11.098291027282613
32,12.63106425,195.50001240847786,13.982131897835819,9.728998524645986,10.123615018539134
33,14.28842306547619,242.3424885132837,15.567353291850344,10.989798027033656,11.537152484221897
34,12.844073511408729,201.30852214456144,14.188323443753369,9.889987560269843,10.303340248510983
35,11.660401967261906,170.26734390600635,13.048652953696267,8.987257862852834,9.29791170002238
36,11.944862283730158,177.78377599901222,13.333558264732345,9.204181544922356,9.539454493543811
37,11.266838943948413,160.53216756935453,12.670128948410689,8.680983838385336,8.9579137119272
38,12.517023126488095,192.03388323867964,13.857629062674453,9.631563300529677,10.012366312971608
39,12.03514210218254,180.01982249832878,13.417146585557184,9.27375753949496,9.617406803533633
40,11.90016063888889,176.20383844351772,13.27417938870489,9.173634969687784,9.504767605544725
41,12.265445337797619,186.26242009162345,13.647799093319898,9.449330512565213,9.813580316016752
42,11.959093678075398,177.8158565117654,13.33476120940174,9.211764566058598,9.546800813860788
43,11.623945403769842,169.4696415651508,13.01805060541519,8.951432316439309,9.257367403339794
44,12.980227814980159,204.42442871991074,14.297707114076394,9.982450050524456,10.403651439201676
45,11.71431310218254,171.72923360839727,13.1045501108736,9.038080129745527,9.353980951341615
46,12.296666072916667,186.03464394592942,13.639451746530336,9.47663298115851,9.840237392107761
47,11.443134650297617,164.70224767079847,12.833637351538279,8.811884406808396,9.102299855415218
48,11.945714438492063,177.03881134109184,13.305593235218483,9.208480240070985,9.540971507024674
49,12.450842733134918,190.0498441523978,13.785856670965277,9.592121128253702,9.968042142596603
50,12.306265961309524,186.07298856545967,13.64085732516324,9.483341037560935,9.846181618727542
