round,MAE,MSE,RMSE,MAPE (%),SMAPE (%)
1,43.386695810019845,2009.2467287835996,44.82462190340929,32.7373873899376,39.329082229448844
2,47.625057975198416,2367.664156822103,48.658649352629006,35.96184269426817,43.892810573924834
3,36.64609756498016,1442.2756749596892,37.97730473532435,27.62391391459123,32.10692013836824
4,26.445910544146823,809.2194681657026,28.446783089933078,19.855277194130263,22.139357635625224
5,23.94026255059524,707.8131713511968,26.604758434370286,17.91637620083372,19.865918685323596
6,20.562437952876984,594.5835972365614,24.384084916940424,15.264230466650453,16.798551556830603
7,21.009556680059525,587.903137292982,24.246713948347352,15.677116029517574,17.19067223397699
8,19.305617523809524,440.14619173529496,20.979661382760565,14.669054274854574,15.808834723795318
9,17.903486463789683,379.1420311125681,19.471569816339105,13.676603065582634,14.646937097633339
10,18.151084893849205,385.3402253218131,19.630084699812507,13.89004386766803,14.892816498816938
11,19.775877446924603,448.2133200898521,21.171049102249327,15.130569883316882,16.349436023690842
12,16.71718121527778,329.2517249978137,18.145294844609545,12.76097010645853,13.568318856066405
13,19.319664293154762,425.64913496094243,20.63126595633294,14.769441635134628,15.908628350460639
14,16.492443875992063,318.7827183530953,17.854487345009243,12.588249501742677,13.360579816619369
15,16.176359773809523,307.0508558118508,17.522866655083888,12.364416417833688,13.102674804412045
16,15.366020787698412,279.8047064507078,16.72736400185958,11.73161297265601,12.375739141246726
17,15.680024756944444,289.001937144608,17.000056974745938,11.973928423564137,12.649884638477873
18,14.16573574404762,242.32460048510828,15.566778744657107,10.843125685808097,11.372773746334133
19,14.060717428075396,239.74049792208098,15.48355572606244,10.742452538916584,11.25684518476955
20,14.064586060515875,239.38786388328987,15.472164162885871,10.77393221728857,11.295057744449014
21,13.880658203869048,234.18687778465141,15.303165613187732,10.614362273741659,11.113551728997646
22,13.766422294146826,230.8523224556539,15.193825142328508,10.533270312899084,11.023204882049411
23,13.038330737599205,211.06503047265284,14.528077315070044,10.00445403729974,10.43477934992892
24,12.353710541666668,193.3410605201817,13.90471360798854,9.488730493049106,9.86031030451425
25,11.48976466220238,171.6374190137635,13.101046485443959,8.841079243664964,9.14275353723958
26,11.709018606646826,178.04021010368544,13.343170916378364,9.000361856279465,9.322079715480097
27,11.275863187003967,168.1126094182744,12.965824671738948,8.676899027757742,8.966222126071761
28,10.525703425099206,150.59720528399959,12.271805298488058,8.110431100195562,8.34202421239761
29,10.636773116071428,153.82685353172636,12.40269541397056,8.210973496834605,8.453850144491664
30,9.106367862599207,120.28499791258328,10.967451751094384,7.0471619878856275,7.17582041956692
31,9.854771265376984,136.48232172484893,11.682564860716543,7.621906422690014,7.807712423516919
32,10.339787280257937,146.82560698894014,12.117161672146665,7.982550471361745,8.205505912884366
33,10.269610784722222,145.17287308729223,12.048770604808286,7.91061463090092,8.127474215935834
34,9.840028729166667,136.44712212653872,11.681058262269678,7.596694641897994,7.784286289379537
35,9.720945826388888,133.96308481391614,11.574242299775658,7.489966367650654,7.668710917006223
36,10.62432831547619,153.8660537434659,12.404275623488294,8.177805431497529,8.4259868016742
37,9.63446354563492,131.68986236723035,11.475620347816948,7.424878724445547,7.596700091693549
38,10.166719353174603,143.25705467935975,11.969003913415676,7.830437443305141,8.04137492521418
39,10.646941548115079,154.06033203207832,12.412104254802177,8.180897448230734,8.426542997406692
40,10.742301581349206,155.50443621184834,12.470141787960888,8.243912820056885,8.49309674041122
41,10.431626963293652,148.3366392767754,12.179352990893047,8.008795372180023,8.233147163734667
42,10.378792293650793,147.4405904564765,12.142511702958187,7.962318334845854,8.18296586924143
43,10.058253657738096,140.8830987652024,11.869418636361361,7.702923456185143,7.897279954369425
44,10.852109525793653,158.25643698644146,12.580001470049256,8.30167971899157,8.554148775738259
45,9.952946627976191,140.49646744537395,11.853120578369813,7.588077427090448,7.773422830647127
46,9.944005058531745,138.3926657553798,11.764041217004461,7.597106659613244,7.78021337773042
47,9.992000655257936,138.9843466105325,11.789162252277832,7.633199665514742,7.817892838778438
48,9.455562427083333,128.7166513853584,11.345336107200986,7.220569255422625,7.3700444142183255
49,9.113686222222222,122.04938363435019,11.047596283099333,6.961447422447291,7.0894656044135775
50,9.527743822420636,129.529201246633,11.381089633538302,7.277258947535595,7.4302670827437325
