round,MAE,MSE,RMSE,MAPE (%),SMAPE (%)
1,15.335200946428571,270.08777457304876,16.434347403321155,210.65570477524892,87.26726317599773
2,11.222757894841271,152.4684341592877,12.34781090555276,156.7133007275205,74.48702451550002
3,7.978609211805556,82.47921397661142,9.081806757281914,108.8833951179502,60.97909343048147
4,6.637835772271826,60.931224550913484,7.8058455372184685,89.33697572212994,53.70853557667955
5,6.01022561235119,53.06173479528344,7.2843486184616015,81.4477008326205,49.64696716355488
6,5.707437762450398,48.40679757795376,6.9574993767842885,76.57311914282077,47.624266062563954
7,5.547166917609127,45.663505987729366,6.757477782999317,73.48011921368808,46.83686736307664
8,5.091510054365079,40.71837351742348,6.381095009277286,66.11191769206029,43.80694674740707
9,5.293174443501984,43.18838076927801,6.571786725790636,68.38491653366516,44.968949378610176
10,5.279994960813493,42.63336549436177,6.529423059839343,68.23277271494435,45.00521885533928
11,5.293604117410714,42.890541161574724,6.549087047946052,68.30452212925209,44.965445692130245
12,5.17893932108135,41.42395631502194,6.436144522540023,66.6082871492446,44.28576198298438
13,5.210379452678572,41.65421772788073,6.454007880989977,66.85085769584943,44.480943891662804
14,4.8738469789682535,38.53340716230726,6.207528265123507,61.633118746286385,41.85344664648715
15,5.040032830704366,40.21986971449685,6.341913726510071,64.08772870777963,43.05557964298998
16,5.06948579126984,40.7311339385203,6.382094792348379,64.35410208607414,43.14607754776161
17,4.856940440674603,38.51507048233959,6.206051118250605,61.318024636010335,41.586137002679955
18,4.827182619593254,38.29102449084998,6.18797418311114,61.20720529864753,41.320651567331026
19,4.7234630923611105,37.629259393757636,6.134269263225868,59.66145540305011,40.38678528748289
20,4.684536660962301,37.601494427144154,6.132005742588974,59.348354053869244,40.00632245611172
21,4.538785185119047,36.53429146286835,6.044360302204722,57.353097376922726,38.710576334703745
22,4.721043829960317,38.530941198929504,6.207329635111181,60.535300267969575,39.98706267730254
23,4.413278190426587,35.42474761256239,5.951869253651528,56.374742173161465,37.79006457782014
24,4.347767596874999,35.24772876998769,5.936979768366041,55.43101036504508,37.04018624738932
25,4.25512582921627,34.1426931176338,5.843174917596922,53.91898154192657,36.48517078504903
26,4.352668789781747,35.4308640368721,5.952383055287362,55.68077091087476,37.012961078400394
27,4.221048409722222,33.93056209526465,5.824994600449399,53.50757810780513,36.113933797443316
28,4.592277205109128,37.75422473345629,6.1444466580365305,59.258327575320315,38.70990992442326
29,4.382902591121032,35.48309851651667,5.956769134062245,56.07366079490601,37.2528036840811
30,4.244326303224207,34.165964525198376,5.8451659108359255,54.114990090972846,36.24591436937419
31,4.422500902480159,35.764633912424436,5.98035399557789,56.64444260331278,37.5364043895279
32,4.515886858482142,36.81459773982042,6.067503419020085,58.36044121746878,38.15859168351147
33,4.281464461160715,34.2844786983287,5.855294928381379,54.837801752593094,36.65924605917136
34,4.255399822817461,33.98991256775207,5.830086840498353,54.4968366329145,36.46893931739801
35,4.439656086160714,36.14112663572329,6.011749049629674,57.2838469613311,37.651560916320555
36,4.391802503422619,35.552835901096216,5.962619885679131,56.666487182486655,37.34198170530274
37,4.317156041071429,34.74012423321554,5.894075350147429,55.482212814437624,36.8224595844017
38,4.32851815813492,34.93655541928208,5.910715305213243,55.67117351552773,36.98853117049573
39,4.30082731577381,35.061091800859856,5.921240731540971,55.190975933636054,36.619258874152735
40,4.484715465228175,36.85985757923515,6.07123196552686,57.94877157780912,37.879228165670945
41,4.32930566904762,35.33373608291584,5.944218710891772,55.76622419573041,36.753557818782966
42,4.3260188388888885,35.51105500980113,5.959115287507125,55.646487159732274,36.70538716367634
43,4.410556311160714,36.343922028964286,6.0285920436669365,57.25654455412671,37.430519843326756
44,4.264731795734127,35.179494725297566,5.931230456262644,55.38580431320145,36.542548617082424
45,4.26366707718254,35.7321977107455,5.977641483958828,55.155853726097234,36.375428316940436
46,4.197335589335317,35.385111075983275,5.948538566402951,53.807740138694605,36.07185690024347
47,4.2127144365079365,35.564837857817544,5.963626233913184,53.825833420420196,36.23781627566237
48,4.195006789236111,35.215415772650005,5.934257811441125,53.662466644820924,36.29996639550411
49,4.040019665674603,33.46235369578074,5.784665391859821,51.0944020629783,35.285198066632645
50,4.119498240228174,34.51460296613722,5.87491301775075,52.205739368695504,35.890443195917875
