round,MAE,MSE,RMSE,MAPE (%),SMAPE (%)
1,14.965321839285714,414.27630416847285,20.35377862138804,1567405460.9972377,56.88881336769296
2,14.644730273313494,393.4885134520891,19.836544897035097,1648059391.4496055,55.832833181345954
3,14.426761819444446,387.1354148114541,19.67575703274093,1690027039.5435174,55.00031580350182
4,14.27594821676587,397.83840143492796,19.945886829993995,1648545888.9922006,54.13642712538952
5,14.05219123561508,378.4610323620695,19.45407495518791,1746622322.8647,53.48923424814629
6,14.012712475198414,387.25818493188154,19.67887661762941,1728435296.6403012,53.07613278731996
7,13.939454280257936,375.937500715908,19.389107785452843,1782284301.9347713,52.990719166634406
8,13.84745495188492,374.87706657880693,19.3617423435704,1775183370.6891186,52.630243955847675
9,13.76235503670635,375.6233904977627,19.3810059206885,1763691332.251715,52.245786169272215
10,13.65303499107143,367.63651733287855,19.17384983076895,1796608317.7423344,51.95440490999314
11,13.561569118055555,364.9563949049239,19.1038319429617,1780753566.73412,51.66731696852216
12,13.331181064484126,355.1064477635018,18.844268300029636,1791442892.852981,50.96113869420464
13,12.82813807390873,334.4160937332955,18.287047157299494,1780026203.1248167,49.525873547549416
14,12.319929539186509,315.50619535142556,17.762494063374817,1759240325.8316853,48.0730959560277
15,11.48084617857143,288.86633756217526,16.99606829717318,1713684397.7423146,45.64793172936886
16,10.61407236309524,262.2849560802091,16.19521398686072,1669210275.8565495,43.27884277372087
17,10.094366463789681,245.64154393197472,15.672955813501636,1621906418.250236,42.1121955428764
18,9.656415876984129,234.23133568457476,15.304618116260684,1576164005.9776223,41.16178211645996
19,9.478553690228175,229.4526770861388,15.147695438123213,1546916889.3592012,40.84480247235031
20,9.38404403075397,225.9620870932036,15.032035360961721,1559335243.5458853,40.62505992701516
21,9.261537674107144,224.42226983299557,14.980729949938874,1540540043.7141376,40.19210586648149
22,9.190030138640873,222.6999991245552,14.923136370232472,1526542736.5177226,40.027103050819356
23,9.167566411458333,221.6486723440448,14.887869973372444,1533589181.9059024,39.919777231625915
24,9.053425424851191,219.0173392132954,14.799234413080137,1529209932.003003,39.68733735898869
25,9.05875434449405,218.56762950678643,14.7840329243,1531549219.225391,39.63632708189914
26,9.047660559771826,218.42946169653436,14.779359312789387,1518254606.943766,39.5345546229645
27,9.033855791666666,216.97385183417046,14.730032309338988,1531836535.0613732,39.57060241214853
28,9.036941585565476,216.22831286179914,14.704703766543519,1509767095.7304933,39.7251204368578
29,9.083171381200398,217.9915067918957,14.764535441113468,1509168830.4237568,39.60448966941556
30,9.013445291914682,216.02779489435326,14.697884027789621,1529166325.2272465,39.45824600112085
31,9.055118488095237,215.89247277604503,14.693279850872134,1522063130.2867143,39.62544256687825
32,9.015460462053571,215.47667166145985,14.679123668034814,1527548453.858794,39.427442423857904
33,9.0382939952877,215.88319259760493,14.692964050783115,1527318603.3062513,39.427124543964645
34,9.028817660714287,216.09437857930942,14.700148930514596,1538690091.070885,39.290843663521
35,9.054232375744046,215.80115840410483,14.69017217067604,1535099278.3322601,39.42388082276788
36,9.101282074156746,216.1269587496753,14.701257046581945,1504578850.083463,39.65168860805748
37,9.037119667410714,214.44335218498227,14.643884463658619,1541336589.152982,39.43837828917413
38,9.092998867063491,216.50707753479435,14.714179472019307,1563028332.6460788,39.40798215925122
39,9.13054252703373,217.76261030161487,14.756781840957563,1563251804.6052434,39.41547371110792
40,9.117977871031746,216.97102134517394,14.729936230180154,1525246940.7722425,39.48776303026208
41,9.096800158234128,215.5472308904823,14.681526858282904,1537652933.6632419,39.54396692187851
42,9.115886999007936,216.50709426369272,14.71418004048111,1548723777.1196702,39.49152684785281
43,9.103406246031748,216.38884349990937,14.71016123296782,1525732538.7320702,39.46521507819172
44,9.068847013888888,215.19981009311562,14.669690183951248,1567751292.2748349,39.38415378310066
45,9.082242714037697,215.84684941643428,14.691727244147785,1568956433.3816316,39.35237496959743
46,9.117602416170634,216.0121313171281,14.697351166694226,1580890403.3650284,39.48531827664913
47,9.08938843998016,216.22671958347576,14.704649590638866,1566906716.0974596,39.3323567253663
48,9.087018280753968,216.44086973450288,14.711929504130412,1566733715.8559377,39.296496961943525
49,9.103169740327381,216.32316951006058,14.707928797422857,1581979212.0304768,39.36415376063899
50,9.115591672371032,216.5298108982811,14.714951950253901,1566726594.8860343,39.3856820143209
